length,parity,fixed_point_count,flat_trace,weighted_trace,flat_minus_weighted,parity_centered_flat,parity_centered_weighted,central_component_weighted,high_component_weighted,component_difference,component_reconstruction_error,minimum_abs_multiplier,elementary_comparison_bound
1,odd,1,0.37333304316897203,0.595743941976561,-0.22241089880758896,0.37333304316897203,0.595743941976561,,,,,1.6785735104283177,inf
2,even,3,1.1801429862402304,1.274554222008856,-0.09441123576862553,-0.8198570137597696,-0.7254457779911441,0.8147325332053104,0.8147325332053155,-5.10702591327572e-15,-2.220446049250313e-15,2.174756050768281,1.1721353496716023
3,odd,1,0.17453335382628332,0.21143598549414117,-0.036902631667857844,0.17453335382628332,0.21143598549414117,,,,,4.729563880353327,0.08941035192375735
4,even,7,1.4198783447036916,1.4560685109438636,-0.03619016624017202,-0.5801216552963084,-0.5439314890561364,0.7910151092089226,0.7910151092089179,4.6629367034256575e-15,-1.9984014443252818e-15,4.409001789601236,0.6604980358039524
5,odd,1,0.06980285351283122,0.07504092414864669,-0.005238070635815467,0.06980285351283122,0.07504092414864669,,,,,13.326061896827458,0.01126228059416589
6,even,15,1.6221410887189234,1.6327041008397403,-0.010563012120816895,-0.3778589112810766,-0.36729589916025973,0.8387046384008066,0.838704638400811,-4.440892098500626e-15,-1.5543122344752192e-15,8.249219544253522,0.39584450191463166
7,odd,1,0.02594193052751372,0.02663283775428595,-0.0006909072267722305,0.02594193052751372,0.02663283775428595,,,,,37.54763233366196,0.001418616093692238
8,even,31,1.7638731479009206,1.7665954098868977,-0.002722261985977026,-0.23612685209907935,-0.23340459011310233,0.8912308808183276,0.8912308808183292,-1.6653345369377348e-15,-8.881784197001252e-16,14.627911636050236,0.24153761026736772
9,odd,1,0.00936377389597427,0.009452282936189525,-8.850904021525524e-05,0.00936377389597427,0.009452282936189525,,,,,105.79454791512278,0.0001786913054115593
10,even,63,1.8555077105429811,1.856160600320146,-0.0006528897771649333,-0.14449228945701886,-0.14383939967985393,0.93089587030862,0.9308958703086075,1.2434497875801753e-14,-1.5543122344752192e-15,25.217681675622114,0.14721104217240502
11,odd,1,0.0033435012156383935,0.003354717718408014,-1.1216502769620731e-05,0.0033435012156383935,0.003354717718408014,,,,,298.0876735210232,2.2508261940401344e-05
12,even,127,1.9125745570267334,1.9127244188795967,-0.00014986185286325338,-0.0874254429732666,-0.08727558112040334,0.9573614858187036,0.9573614858186751,2.853273173286652e-14,-4.440892098500626e-16,42.88973450918947,0.08919264438299472
13,odd,1,0.001189209794428551,0.0011906256981703135,-1.4159037417624688e-06,0.001189209794428551,0.0011906256981703135,,,,,839.8945206178093,2.8351791062870927e-06
14,even,255,1.947439879820811,1.9474733435862583,-3.346376544732799e-05,-0.052560120179188985,-0.05252665641374166,0.974091325816619,0.9740913258164854,1.3355982986240633e-13,0.0,72.4791726964828,0.05373884030772783
15,odd,1,0.0004223874853263602,0.00042256597190461746,-1.7848657825727046e-07,0.0004223874853263602,0.00042256597190461746,,,,,2366.4943854630164,3.571240012233879e-07
16,even,511,1.968518085449592,1.9685254265857928,-7.341136200711418e-06,-0.03148191455040794,-0.03147457341420723,0.9843885838517088,0.9843885838519302,-2.2137847111025621e-13,-8.881784197001252e-16,122.09840389214372,0.03224490024168867
17,odd,1,0.00014995075730286802,0.0001499732459046666,-2.248860179858165e-08,0.00014995075730286802,0.0001499732459046666,,,,,6667.85594969165,4.498394897436319e-08
18,even,1023,1.9811845485117667,1.9811861403520425,-1.5918402758163808e-06,-0.01881545148823327,-0.018813859647957454,0.9906377430027781,0.990637743001969,8.090195180443516e-13,-1.1102230246251565e-15,205.35727587919772,0.019295017737939645
19,odd,1,5.322429836552389e-05,5.322713134224359e-05,-2.8329767197022714e-09,5.322429836552389e-05,5.322713134224359e-05,,,,,18787.411133809353,5.6662550218489e-09
20,even,2047,1.9887693744422983,1.988769716940935,-3.42498636785038e-07,-0.011230625557701712,-0.011230283059064927,0.9944007133391748,0.9944007133428083,-3.6335379149932123e-12,2.6645352591003757e-15,345.0945987371033,0.01152593940455151
21,odd,1,1.8890529271466197e-05,1.8890886130303606e-05,-3.5685883740898096e-10,1.8890529271466197e-05,1.8890886130303606e-05,,,,,52935.5792577597,7.137311575761943e-10
22,even,4095,1.993301805978037,1.9933018792819397,-7.330390272564102e-08,-0.006698194021963033,-0.0066981207180603075,0.9966565667041672,0.996656566708741,-4.573785794548257e-12,-1.5543122344752192e-15,579.642565512618,0.006877693247110398
23,odd,1,6.704535397451469e-06,6.704580348547741e-06,-4.4951096272182226e-11,6.704535397451469e-06,6.704580348547741e-06,,,,,149151.7661081662,8.990279530026509e-11
24,even,8191,1.9960068857799356,1.9960069014123005,-1.5632364958051426e-08,-0.003993114220064431,-0.003993098587699473,0.9980054478028958,0.998005447822531,-1.9635182368915594e-11,6.661338147750939e-16,973.3416905025231,0.004101348829272461
25,odd,1,2.3795226112652583e-06,2.3795282734065887e-06,-5.662141330410185e-12,2.3795226112652583e-06,2.3795282734065887e-06,,,,,420251.36291756533,1.1324309607882683e-11
26,even,16383,1.997620165684038,1.9976201690093378,-3.3252998132837774e-09,-0.002379834315962004,-0.0023798309906621906,0.9988107932429845,0.998810793355905,-1.1292045076771728e-10,-1.3322676295501878e-15,1634.1903572535352,0.002444782714746393
27,odd,1,8.445196761225272e-07,8.445203893366129e-07,-7.132140857168986e-13,8.445196761225272e-07,8.445203893366129e-07,,,,,1184104.034226479,1.4264293760105284e-12
28,even,32767,1.9985818867159983,1.9985818874219279,-7.059295370481777e-10,-0.0014181132840016542,-0.001418112578072117,0.9992911951550014,0.9992911953848254,-2.2982393765857978e-10,-6.439293542825908e-15,2743.4714546968617,0.0014569729777944855
