sector,rank,real_part,imaginary_part,modulus,lambda_inverse_squared,status
reduced_beta_one,1,0.20788029772253697,0.0,0.20788029772253697,0.3549108444017701,floating-point diagnostic only
reduced_beta_one,2,0.026731668600248462,0.0,0.026731668600248462,0.3549108444017701,floating-point diagnostic only
reduced_beta_one,3,0.0034013688290711343,0.0,0.0034013688290711343,0.3549108444017701,floating-point diagnostic only
reduced_beta_one,4,0.0004170513924773261,0.0,0.0004170513924773261,0.3549108444017701,floating-point diagnostic only
reduced_beta_one,5,5.302324921635448e-05,0.0,5.302324921635448e-05,0.3549108444017701,floating-point diagnostic only
reduced_beta_one,6,6.919599705430227e-06,0.0,6.919599705430227e-06,0.3549108444017701,floating-point diagnostic only
odd_beta_two,1,0.15252823980512212,0.0,0.15252823980512212,0.3549108444017701,floating-point diagnostic only
odd_beta_two,2,0.02644172710388148,0.0,0.02644172710388148,0.3549108444017701,floating-point diagnostic only
odd_beta_two,3,0.0034776012999671447,0.0,0.0034776012999671447,0.3549108444017701,floating-point diagnostic only
odd_beta_two,4,0.00041825598454883723,0.0,0.00041825598454883723,0.3549108444017701,floating-point diagnostic only
odd_beta_two,5,5.179644648894495e-05,0.0,5.179644648894495e-05,0.3549108444017701,floating-point diagnostic only
odd_beta_two,6,7.045286453304562e-06,0.0,7.045286453304562e-06,0.3549108444017701,floating-point diagnostic only
