iterate,taylor_even_beta_one_centered_trace,circle_even_beta_one_centered_trace,beta_one_trace_difference,taylor_odd_beta_two_trace,circle_odd_beta_two_trace,beta_two_trace_difference
1,0.23849119781597258,0.23849119781623518,-2.6259550089946515e-13,0.18292556703599042,0.1829255670361356,-1.4518941604535485e-13
2,0.04394054638900183,0.04394054638900302,-1.1934897514720433e-15,0.023976300252289195,0.023976300252288668,5.273559366969494e-16
3,0.009002525937584167,0.009002525937583883,2.8449465006019636e-16,0.0035670780045276382,0.0035670780045273798,2.5847379792054426e-16
4,0.0018679794144789105,0.0018679794144809136,-2.003171933884218e-15,0.0005417428719468422,0.0005417428719470957,-2.5348646792711094e-16
5,0.00038822358995860783,0.0003882235899552722,3.335656403868903e-15,8.256942980848918e-05,8.25694298082491e-05,2.400694660426028e-16
6,8.070156270477244e-05,8.070156270578721e-05,-1.014772575864964e-15,1.2592539976833103e-05,1.2592539976867545e-05,-3.444205370125436e-17
7,1.6776198782947026e-05,1.677619878703851e-05,-4.091484231494649e-15,1.9206748639973657e-06,1.920674864078556e-06,-8.119022557669282e-17
8,3.4874394307277956e-06,3.48743944234009e-06,-1.1612294428846792e-14,2.9295601678705587e-07,2.929560168800707e-07,-9.301485845992206e-17
9,7.249698999162161e-07,7.249699005562604e-07,-6.400443529667142e-16,4.468403545167514e-08,4.4684035463513766e-08,-1.1838628779193633e-17
10,1.507069573718497e-07,1.507069646855541e-07,-7.31370442135026e-15,6.815576478166341e-09,6.815576547147123e-09,-6.898078165505902e-17
