sigma,folded_dimension,requested_xi,actual_xi,observed_parity_observable,boundary_layer_profile,difference
0.001,20480,-4.0,-4.016161129576368,1.037217034989229,0.9999999385526682,0.03721709643656068
0.001,20480,-3.75,-3.7720205045763677,1.0342366552066264,0.9999996331289488,0.03423702207767765
0.001,20480,-3.5,-3.479051754576412,1.0292413310254704,0.9999972734643693,0.029244057561101156
0.001,20480,-3.25,-3.234911129576412,1.0251257918154215,0.9999870688041135,0.02513872301130804
0.001,20480,-3.0,-2.990770504576412,1.0223916323449889,0.9999447237810417,0.022446908563947154
0.001,20480,-2.75,-2.746629879576412,1.0218475915248673,0.999786911218675,0.022060680306192237
0.001,20480,-2.5,-2.502489254576412,1.0233079569217636,0.999258683220773,0.024049273700990526
0.001,20480,-2.25,-2.258348629576412,1.0252949826274942,0.9976706965436912,0.027624286083802962
0.001,20480,-2.0,-2.014208004576412,1.0249032454416114,0.9933830154313398,0.0315202300102716
0.001,20480,-1.75,-1.7700673795764121,1.0175205987254057,0.9829849509602027,0.034535647765203015
0.001,20480,-1.5,-1.4770986295763455,0.9895070480523906,0.9535636894114868,0.03594335864090381
0.001,20480,-1.25,-1.2329580045763455,0.9384876346989701,0.9035390127546414,0.034948621944328684
0.001,20480,-1.0,-0.9888173795763455,0.8494296401398932,0.8175046349012841,0.03192500523860908
0.001,20480,-0.75,-0.7446767545763455,0.711429862689511,0.6846039146039746,0.0268259480855364
0.001,20480,-0.5,-0.5005361295763455,0.5198412100924776,0.5002076181840547,0.019633591908422954
0.001,20480,-0.25,-0.2563955045763455,0.2809863867423475,0.27040864086631267,0.010577745876034828
0.001,20480,0.0,-0.012254879576345523,0.013531573404836966,0.013181947791441353,0.00034962561339561306
0.001,20480,0.25,0.23188574542365448,-0.2553393496943601,-0.24543473683365383,-0.009904612860706291
0.001,20480,0.5,0.4760263704236545,-0.49786177584759705,-0.4789792307441684,-0.018882545103428627
0.001,20480,0.75,0.7689951204236101,-0.7267610090256782,-0.7001473673311368,-0.02661364169454139
0.001,20480,1.0,1.01313574542361,-0.8582751835132133,-0.8280286295123112,-0.03024655400090215
0.001,20480,1.25,1.25727637042361,-0.9418434392159576,-0.9099329354557072,-0.0319105037602504
0.001,20480,1.5,1.50141699542361,-0.9896642069420495,-0.9570495321488038,-0.032614674793245646
0.001,20480,1.75,1.74555762042361,-1.0147115135909541,-0.9813943187500742,-0.033317194840879916
0.001,20480,2.0,1.98969824542361,-1.0272351610865662,-0.9926922774368445,-0.03454288364972169
0.001,20480,2.25,2.23383887042361,-1.0336755795390165,-0.99740153647681,-0.036274043062206496
0.001,20480,2.5,2.47797949542361,-1.0372695252854025,-0.999164567619993,-0.038104957665409556
0.001,20480,2.75,2.7709482454236767,-1.0394643918860293,-0.9998128488697379,-0.03965154301629148
0.001,20480,3.0,3.0150888704236767,-1.0396830027398096,-0.9999519478791736,-0.039731054860635995
0.001,20480,3.25,3.2592294954236767,-1.0380817664725683,-0.9999888742740909,-0.038092892198477446
0.001,20480,3.5,3.5033701204236767,-1.0341992489480614,-0.9999976783669507,-0.03420157058111062
0.001,20480,3.75,3.7475107454236767,-1.0278378082770105,-0.9999995635848083,-0.027838244692202196
0.001,20480,4.0,3.9916513704236767,-1.0195150511279198,-0.9999999261297245,-0.0195151249981953
