sigma,z,leading_eigenvalue_det2_real,leading_eigenvalue_det2_imag,trace_two_corrected_real,trace_two_corrected_imag,deterministic_target_real,deterministic_target_imag,corrected_target_error
0.01,0.5,1.1062627951925843,-8.397698982255361e-18,1.1062627939200376,-1.1756054041217761e-17,1.1106243647632448,9.894821403702237e-31,0.0043615708432072076
0.01,0.75,1.27140218367599,-1.4073061575790769e-18,1.2714021803853461,-1.0091585292219262e-17,1.301257743879388,-6.201092621236283e-25,0.029855563494041837
0.01,0.9,1.432513750385692,-2.9293017342692436e-17,1.4325137450467005,-4.338305354901555e-17,1.5357388375927514,0.0,0.10322509254605094
0.01,1.0,1.5765029764494398,2.2162738660458814e-17,1.5765029691955625,3.019161584207829e-18,1.8218829696037249,-3.840507329374859e-27,0.24538000040816232
0.01,1.1,1.7578884211151202,-1.2681020416030899e-17,1.7578884113280642,-3.8509864346436994e-17,2.393912559087847,2.7469922513865317e-24,0.6360241477597828
0.01,1.2,1.9852862970637022,9.625344592035702e-17,1.9852862839096053,6.153870423241546e-17,4.142295049482418,9.98959674209827e-27,2.1570087655728125
0.004,0.5,1.1088025220933142,1.4331109253273118e-17,1.1088032625570157,1.4331118823657378e-17,1.1106243647632448,9.894821403702237e-31,0.0018211022062291082
0.004,0.75,1.2886038351493634,4.086277519967877e-17,1.2886057713559251,4.086283659851316e-17,1.301257743879388,-6.201092621236283e-25,0.01265197252346284
0.004,0.9,1.4803304783627327,1.649723719719838e-17,1.4803336813379957,1.6497272892094504e-17,1.5357388375927514,0.0,0.05540515625475573
0.004,1.0,1.6654407494625447,-1.245506891795877e-16,1.6654451982246388,-1.2455102188213807e-16,1.8218829696037249,-3.840507329374859e-27,0.1564377713790861
0.004,1.1,1.9161280196136938,-1.7349987616846647e-16,1.916134212883622,-1.7350043695122975e-16,2.393912559087847,2.7469922513865317e-24,0.4777783462042249
0.004,1.2,2.2559442061315225,6.260844029630161e-17,2.255952883760888,6.260868112355193e-17,4.142295049482418,9.98959674209827e-27,1.8863421657215298
0.002,0.5,1.1095098038398652,1.3132398814230672e-17,1.1095460122117355,9.764505233022492e-18,1.1106243647632448,9.894821403702237e-31,0.0010783525515092318
0.002,0.75,1.2947484542327024,2.3615278569449893e-17,1.2948435266705522,1.477261798492592e-17,1.301257743879388,-6.201092621236283e-25,0.006414217208835726
0.002,0.9,1.5027766734122134,-6.520120814784702e-17,1.5029355768093609,-7.999079966515998e-17,1.5357388375927514,0.0,0.032803260783390575
0.002,1.0,1.7149400217969206,-5.21772295508649e-18,1.715163898054958,-2.6045749654670167e-17,1.8218829696037249,-3.840507329374859e-27,0.10671907154876692
0.002,1.1,2.018838527292992,1.927169361592984e-17,2.019157425451101,-1.0392960005370116e-17,2.393912559087847,2.7469922513865317e-24,0.37475513363674606
0.002,1.2,2.4573771216681024,4.3720452605477966e-16,2.4578390832701515,3.9430891073313635e-16,4.142295049482418,9.98959674209827e-27,1.6844559662122665
0.001,0.5,1.1095840758221782,-2.9680034471790684e-18,1.1099182885862935,-1.2841712783015937e-18,1.1106243647632448,9.894821403702237e-31,0.0007060761769512869
0.001,0.75,1.2967036916877055,1.7059921184059412e-16,1.2975826491023592,1.751464028524465e-16,1.301257743879388,-6.201092621236283e-25,0.0036750947770287645
0.001,0.9,1.5133231770459725,6.516055056637882e-17,1.5148005359480836,7.267386231497562e-17,1.5357388375927514,0.0,0.02093830164466781
0.001,1.0,1.743275596928912,9.334980705100193e-17,1.7453768824687474,1.0405943963986432e-16,1.8218829696037249,-3.840507329374859e-27,0.07650608713497742
0.001,1.1,2.0885538823903658,1.196959198423997e-16,2.0916004093129725,1.3523657279624373e-16,2.393912559087847,2.7469922513865317e-24,0.3023121497748744
0.001,1.2,2.616597981814134,-2.3483819056036026e-16,2.6211408866628876,-2.1232926236903556e-16,4.142295049482418,9.98959674209827e-27,1.5211541628195304
0.0005,0.5,1.109861019457809,-3.469446951953614e-18,1.110152113666479,-7.321970785029079e-18,1.1106243647632448,9.894821403702237e-31,0.0004722510967658522
0.0005,0.75,1.2983800837488146,-4.445228907190568e-17,1.2991464220245106,-5.4619995075534123e-17,1.301257743879388,-6.201092621236283e-25,0.0021113218548773904
0.0005,0.9,1.5210543672886634,2.7798943702528334e-16,1.5223473189396302,2.6111301959854895e-16,1.5357388375927514,0.0,0.01339151865312127
0.0005,1.0,1.7646167714191952,-1.2533377113932431e-16,1.7664687937421955,-1.4997999207082008e-16,1.8218829696037249,-3.840507329374859e-27,0.05541417586152941
0.0005,1.1,2.144431168271289,-7.45931094670027e-17,2.1471547545618916,-1.1074313550653985e-16,2.393912559087847,2.7469922513865317e-24,0.2467578045259553
0.0005,1.2,2.7543607047159857,-4.544975507059235e-16,2.7585244041032313,-5.103109950174389e-16,4.142295049482418,9.98959674209827e-27,1.3837706453791867
0.0002,0.5,1.11179737794481,-5.7462715141731735e-18,1.110383588722095,1.9658695025134633e-18,1.1106243647632448,9.894821403702237e-31,0.0002407760411498039
0.0002,0.75,1.3041182003826217,-1.4007892068512717e-16,1.3003898799373035,-1.1937609986377653e-16,1.301257743879388,-6.201092621236283e-25,0.0008678639420844902
0.0002,0.9,1.5353026183378735,-9.150666335777657e-17,1.5289860765173189,-5.675549683977793e-17,1.5357388375927514,0.0,0.006752761075432545
0.0002,1.0,1.7968251585708856,-1.2663481374630692e-16,1.78770302651022,-7.637318688177685e-17,1.8218829696037249,-3.840507329374859e-27,0.034179943093504805
0.0002,1.1,2.224994452670923,2.8449465006019636e-16,2.2113337525084322,3.570139286501827e-16,2.393912559087847,2.7469922513865317e-24,0.18257880657941472
0.0002,1.2,2.9604500765302846,6.071532165918825e-17,2.938831605519731,1.7773125894796428e-16,4.142295049482418,9.98959674209827e-27,1.2034634439626868
0.0001,0.5,1.1131821753206028,-7.806255641895632e-18,1.110376050772213,1.6290865002421902e-17,1.1106243647632448,9.894821403702237e-31,0.0002483139910318677
0.0001,0.75,1.3077828931986393,-8.586881206085195e-17,1.300377054656913,-2.1938322659817696e-17,1.301257743879388,-6.201092621236283e-25,0.000880689222475084
0.0001,0.9,1.5434549005256302,-1.3357370765021415e-16,1.5308843860626955,-2.493155603138592e-17,1.5357388375927514,0.0,0.0048544515300559254
0.0001,1.0,1.8153804694663194,-3.469446951953614e-16,1.7971446265528703,-1.8758212091766027e-16,1.8218829696037249,-3.840507329374859e-27,0.02473834305085454
0.0001,1.1,2.275855333824885,-3.0878077872387166e-16,2.248222293156282,-6.907895460835637e-17,2.393912559087847,2.7469922513865317e-24,0.14569026593156487
0.0001,1.2,3.1082483944465307,1.304512053934559e-15,3.063386898100578,1.6683012697580083e-15,4.142295049482418,9.98959674209827e-27,1.0789081513818402
