sigma,singular_index,singular_value,above_half_energy
0.01,1,1.0679683145834593,1
0.01,2,0.9989391242601814,1
0.01,3,0.4878215872215787,0
0.01,4,0.04959791478722055,0
0.01,5,0.001541643122029556,0
0.01,6,1.6396235375729917e-05,0
0.01,7,6.431785309279019e-08,0
0.01,8,5.168975069280394e-08,0
0.01,9,3.5562684879394063e-08,0
0.01,10,2.8135799671367843e-08,0
0.01,11,2.593097205899798e-08,0
0.01,12,2.2903210692925772e-08,0
0.01,13,2.010594205317059e-08,0
0.01,14,1.856397667420915e-08,0
0.01,15,1.716702675369518e-08,0
0.01,16,1.579924783147663e-08,0
0.01,17,1.1845748751811725e-08,0
0.01,18,9.346712502035659e-09,0
0.01,19,7.023079277385451e-09,0
0.01,20,0.0,0
0.01,21,0.0,0
0.01,22,0.0,0
0.01,23,0.0,0
0.01,24,0.0,0
0.01,25,0.0,0
0.01,26,0.0,0
0.01,27,0.0,0
0.01,28,0.0,0
0.01,29,0.0,0
0.01,30,0.0,0
0.0001,1,1.0038873756646862,1
0.0001,2,1.0,1
0.0001,3,1.0,1
0.0001,4,1.0,1
0.0001,5,1.0,1
0.0001,6,1.0,1
0.0001,7,0.978663537576283,1
0.0001,8,0.25280152579824006,0
0.0001,9,0.014698549938163824,0
0.0001,10,0.0002712168433537544,0
0.0001,11,1.6802248508620516e-06,0
0.0001,12,4.647724129778592e-08,0
0.0001,13,3.06838503427656e-08,0
0.0001,14,2.849250609255268e-08,0
0.0001,15,2.5835962408049224e-08,0
0.0001,16,2.4861048176873683e-08,0
0.0001,17,2.2996360826907585e-08,0
0.0001,18,2.2766409931258027e-08,0
0.0001,19,1.9479770627478284e-08,0
0.0001,20,1.561231284381715e-08,0
0.0001,21,1.0566028205779623e-08,0
0.0001,22,8.430264962240717e-09,0
0.0001,23,4.761953212108755e-09,0
0.0001,24,4.2031439889628894e-09,0
0.0001,25,0.0,0
0.0001,26,0.0,0
0.0001,27,0.0,0
0.0001,28,0.0,0
0.0001,29,0.0,0
0.0001,30,0.0,0
0.0001,31,0.0,0
0.0001,32,0.0,0
0.0001,33,0.0,0
0.0001,34,0.0,0
1e-06,1,1.0362991352341675,1
1e-06,2,1.0,1
1e-06,3,1.0,1
1e-06,4,1.0,1
1e-06,5,1.0,1
1e-06,6,1.0,1
1e-06,7,1.0,1
1e-06,8,1.0,1
1e-06,9,1.0,1
1e-06,10,1.0,1
1e-06,11,0.9999999981704164,1
1e-06,12,0.6095452215117754,0
1e-06,13,0.06569397560106574,0
1e-06,14,0.0020023618481833706,0
1e-06,15,2.0063656285430803e-05,0
1e-06,16,6.588244658015064e-08,0
1e-06,17,4.6606641082284946e-08,0
1e-06,18,3.2743799516292036e-08,0
1e-06,19,2.9395675411832405e-08,0
1e-06,20,2.663000351376562e-08,0
1e-06,21,2.3341870760557037e-08,0
1e-06,22,2.128415677349549e-08,0
1e-06,23,1.8220749309380886e-08,0
1e-06,24,1.692935241457885e-08,0
1e-06,25,1.2027752403999128e-08,0
1e-06,26,7.71320510409805e-09,0
1e-06,27,5.806311677927529e-09,0
1e-06,28,0.0,0
1e-06,29,0.0,0
1e-06,30,0.0,0
1e-06,31,0.0,0
1e-06,32,0.0,0
1e-06,33,0.0,0
1e-06,34,0.0,0
1e-06,35,0.0,0
1e-06,36,0.0,0
1e-06,37,0.0,0
1e-06,38,0.0,0
1e-06,39,0.0,0
1e-08,1,1.003494884718223,1
1e-08,2,1.0,1
1e-08,3,1.0,1
1e-08,4,1.0,1
1e-08,5,1.0,1
1e-08,6,1.0,1
1e-08,7,1.0,1
1e-08,8,1.0,1
1e-08,9,1.0,1
1e-08,10,1.0,1
1e-08,11,1.0,1
1e-08,12,1.0,1
1e-08,13,1.0,1
1e-08,14,1.0,1
1e-08,15,0.9999999999999999,1
1e-08,16,0.940417281581232,1
1e-08,17,0.2077297970946488,0
1e-08,18,0.010756956981978082,0
1e-08,19,0.0001781846839600948,0
1e-08,20,9.87914885725683e-07,0
1e-08,21,5.130557022614884e-08,0
1e-08,22,3.296853980722324e-08,0
1e-08,23,2.9658522323665666e-08,0
1e-08,24,2.59940471138502e-08,0
1e-08,25,2.287390976414821e-08,0
1e-08,26,2.247387348605052e-08,0
1e-08,27,2.0624883560494744e-08,0
1e-08,28,1.912432849189835e-08,0
1e-08,29,1.6710150175319088e-08,0
1e-08,30,1.561282846094077e-08,0
1e-08,31,1.0534712109961674e-08,0
1e-08,32,7.424994908075285e-09,0
1e-08,33,0.0,0
1e-08,34,0.0,0
1e-08,35,0.0,0
1e-08,36,0.0,0
1e-08,37,0.0,0
1e-08,38,0.0,0
1e-08,39,0.0,0
1e-08,40,0.0,0
1e-10,1,1.0423843824208177,1
1e-10,2,1.0,1
1e-10,3,1.0,1
1e-10,4,1.0,1
1e-10,5,1.0,1
1e-10,6,1.0,1
1e-10,7,1.0,1
1e-10,8,1.0,1
1e-10,9,1.0,1
1e-10,10,1.0,1
1e-10,11,1.0,1
1e-10,12,1.0,1
1e-10,13,1.0,1
1e-10,14,1.0,1
1e-10,15,1.0,1
1e-10,16,1.0,1
1e-10,17,1.0,1
1e-10,18,1.0,1
1e-10,19,1.0,1
1e-10,20,0.9999998996252583,1
1e-10,21,0.5166317036049901,0
1e-10,22,0.04757298088909706,0
1e-10,23,0.001276737812587576,0
1e-10,24,1.1334723272347367e-05,0
1e-10,25,5.209448064771726e-08,0
1e-10,26,3.651324265641037e-08,0
1e-10,27,3.150463710389138e-08,0
1e-10,28,2.592003355513533e-08,0
1e-10,29,2.5220834164699788e-08,0
1e-10,30,2.3872771649037938e-08,0
1e-10,31,2.059233941058544e-08,0
1e-10,32,1.8444231509577827e-08,0
1e-10,33,1.6448029074280682e-08,0
1e-10,34,1.2630040616891027e-08,0
1e-10,35,9.352553808758103e-09,0
1e-10,36,7.100700343034118e-09,0
1e-10,37,0.0,0
1e-10,38,0.0,0
1e-10,39,0.0,0
1e-10,40,0.0,0
1e-12,1,1.0072857144325367,1
1e-12,2,1.0,1
1e-12,3,1.0,1
1e-12,4,1.0,1
1e-12,5,1.0,1
1e-12,6,1.0,1
1e-12,7,1.0,1
1e-12,8,1.0,1
1e-12,9,1.0,1
1e-12,10,1.0,1
1e-12,11,1.0,1
1e-12,12,1.0,1
1e-12,13,1.0,1
1e-12,14,1.0,1
1e-12,15,1.0,1
1e-12,16,1.0,1
1e-12,17,1.0,1
1e-12,18,1.0,1
1e-12,19,1.0,1
1e-12,20,1.0,1
1e-12,21,1.0,1
1e-12,22,1.0,1
1e-12,23,1.0,1
1e-12,24,0.9999999999999999,1
1e-12,25,0.8773053432361747,1
1e-12,26,0.1608881683108398,0
1e-12,27,0.0073440094049084925,0
1e-12,28,0.00010827777193438605,0
1e-12,29,5.325515946127437e-07,0
1e-12,30,6.027355103980961e-08,0
1e-12,31,2.8923136298727233e-08,0
1e-12,32,2.7897250416040358e-08,0
1e-12,33,2.5248589953577554e-08,0
1e-12,34,2.297017791687811e-08,0
1e-12,35,2.1246993250911858e-08,0
1e-12,36,1.928914963102167e-08,0
1e-12,37,1.742931763423446e-08,0
1e-12,38,1.3481862035507868e-08,0
1e-12,39,1.2907934489010773e-08,0
1e-12,40,7.476106234683881e-09,0
