sigma,contour_nodes,winding_float,winding_integer,projected_zero_count,cauchy_count_error,cauchy_centroid_error,maximum_phase_increment
0.01,64,1.0,1,1,0.03425110812413139,0.0011113098962311112,1.837632257763809
0.01,96,1.0,1,1,0.0017842894734477683,0.00019531461751165317,1.3877443115166301
0.01,128,1.0,1,1,0.0007428194711271476,3.5297055865674646e-05,1.0810535192764512
0.01,192,1.0,1,1,5.315523887588559e-05,1.1527251955897903e-06,0.7272615310556523
0.01,256,1.0,1,1,1.2617585108742439e-06,3.761839790399784e-08,0.5456168486537241
0.01,384,1.0,1,1,1.491046600978653e-09,4.006492763062254e-11,0.363725493104321
0.01,512,1.0000000000000002,1,1,1.0125464655814656e-12,4.274874975466255e-14,0.273115689579023
0.004,64,1.0000000000000002,1,1,0.0015719980034970364,8.502576182928514e-05,1.3842608545929695
0.004,96,1.0000000000000002,1,1,0.00013294636492056493,4.619998585465033e-06,0.9892534254823565
0.004,128,1.0,1,1,1.068833567811123e-05,2.5068275168480554e-07,0.793460225007113
0.004,192,1.0000000000000002,1,1,2.4417102699525318e-08,7.381151691504753e-10,0.5345692117404206
0.004,256,1.0,1,1,7.498970138680326e-11,2.173220786329645e-12,0.399721308282448
0.004,384,1.0000000000000002,1,1,1.1456541734109774e-15,8.326672684688674e-17,0.2703658513560494
0.004,512,1.0,1,1,1.5307778266434325e-15,1.2738115944464653e-16,0.20281989581658277
0.002,64,1.0,1,1,0.0018815553296403892,8.267398850237879e-05,1.34244448550244
0.002,96,1.0,1,1,0.0001657123291096855,4.882039509023272e-06,0.9462455001509802
0.002,128,1.0,1,1,1.5017034849773809e-05,2.881629913960552e-07,0.7161460264111574
0.002,192,1.0,1,1,4.117420034369578e-08,1.0040269389197066e-09,0.47722108770839
0.002,256,1.0,1,1,1.4484227597972393e-10,3.498043317457954e-12,0.3592739950554209
0.002,384,1.0,1,1,3.401212005081361e-15,1.2412670766236366e-16,0.24036424128704592
0.002,512,1.0000000000000002,1,1,3.72718165839867e-15,1.5700924586837752e-16,0.18045175407821645
0.001,64,1.0000000000000002,1,1,0.005559515514235625,0.0004462167837714237,1.2273500537341355
0.001,96,1.0,1,1,0.0039625668377959835,6.437990166698385e-05,0.9031833663990643
0.001,128,1.0,1,1,0.0006782243444479812,9.247968209370249e-06,0.7153237142129281
0.001,192,1.0,1,1,5.412712201155348e-06,1.9107080429742385e-07,0.4893696888361645
0.001,256,1.0,1,1,2.4037920270304884e-07,3.948619753534804e-09,0.3664204648938316
0.001,384,1.0,1,1,8.95237172379189e-11,1.6861651105433768e-12,0.2479916732088943
0.001,512,1.0000000000000002,1,1,4.251411894738604e-14,8.368202481890594e-16,0.1871298386732434
0.0005,64,1.0000000000000002,1,1,2.840340879351609e-05,7.117513262630092e-07,0.813564096844544
0.0005,96,1.0,1,1,1.7819551328065666e-07,4.045564472806674e-09,0.5663721477237631
0.0005,128,1.0000000000000002,1,1,1.0561734704497373e-09,2.2995211720633684e-11,0.4283342595588298
0.0005,192,1.0,1,1,3.397576203415873e-14,6.131407058289218e-16,0.28763192695793127
0.0005,256,1.0,1,1,7.989622477783608e-15,2.7755575615628914e-16,0.21604069212908783
0.0005,384,1.0,1,1,5.905352365464342e-15,2.2887833992611187e-16,0.14402229426358312
0.0005,512,1.0,1,1,3.1110841951128668e-15,1.7554167342883506e-16,0.10808782867208146
0.0002,64,1.0,1,1,0.00011302599325335758,2.528658374300167e-06,0.7366256368087987
0.0002,96,1.0,1,1,1.6519769716109892e-06,2.8882174075532683e-08,0.5054456621294459
0.0002,128,1.0,1,1,1.690441984477708e-08,3.298901535748449e-10,0.3813354808982201
0.0002,192,1.0,1,1,2.238742581863696e-12,4.299086902205307e-14,0.2549034672245516
0.0002,256,1.0,1,1,4.49711606964864e-15,3.510833468576701e-16,0.19111195184285235
0.0002,384,1.0,1,1,1.4643363508237955e-15,2.9893669801409083e-16,0.12764999566804014
0.0002,512,1.0,1,1,5.171118053786563e-15,4.742874840267547e-16,0.09575511716252905
0.0001,64,1.0000000000000002,1,1,0.002471489783664814,7.809927290822919e-05,0.9285435207013386
0.0001,96,1.0,1,1,0.00023392912344166508,5.281446537507011e-06,0.6718201501558333
0.0001,128,1.0,1,1,2.5676777838734472e-05,3.561170886923444e-07,0.49514636964043257
0.0001,192,1.0,1,1,9.475194416274588e-08,1.619561462779583e-09,0.34040140752859116
0.0001,256,1.0,1,1,4.0754199073470564e-10,7.364400774175874e-12,0.25945224418991586
0.0001,384,1.0,1,1,1.2537801603475974e-14,9.694605782913356e-16,0.1739427096601731
0.0001,512,1.0,1,1,1.8199225807735145e-14,1.0235750533041806e-15,0.13051825391031002
