sigma,folded_dimension,packet_rank,base_depth,middle_depth,maximum_depth,contour_nodes,base_winding_float,base_winding_integer,middle_winding_integer,deep_winding_integer,maximum_base_phase_increment,maximum_deep_phase_increment,maximum_first_increment_rouche_ratio,maximum_second_increment_rouche_ratio,maximum_total_extended_rouche_ratio,informative_increment_node_count,contracting_informative_node_count,maximum_informative_contraction_ratio,roundoff_limited_node_count,admissible_geometric_node_count,maximum_conditional_geometric_total,maximum_base_true_residual_to_forcing,maximum_deep_true_residual_to_forcing,maximum_feshbach_reconstruction_error,minimum_base_feshbach_singular,minimum_deep_feshbach_singular,worst_extended_node,worst_extended_z_real,worst_extended_z_imag,direct_correction_rouche_ratio,direct_correction_matrix_norm,remaining_residual_to_forcing,maximum_correction_iterations,total_correction_iterations,all_correction_solves_converged,extended_arnoldi_seconds,direct_correction_seconds
0.01,2048,4,36,44,52,32,1.0000000000000002,1,1,1,2.997515129837764,2.997515129837762,3.8953999895422226e-15,6.308811674901441e-15,6.395584356772917e-15,0,0,,32,0,,4.1247428644216785e-15,4.130591507309042e-15,8.896087536668636e-16,0.011482726206679133,0.011482726206679133,4,-0.13773578740637357,-0.36522659470127694,0.0,0.0,3.011829962277755e-15,0,0,1,0.8061466217041016,0.041126251220703125
0.004,5120,5,42,50,58,32,1.0000000000000002,1,1,1,2.3700844451621803,2.370084445162181,1.5093567447091487e-14,4.9571288274255015e-15,1.4592608785355004e-14,0,0,,32,0,,8.128224795812305e-15,8.045948729639334e-15,1.035611027711896e-15,0.011964417767454955,0.011964417767455045,6,0.055120913291228923,-0.4935268576089632,0.0,0.0,8.128224795812305e-15,0,0,1,2.845543146133423,0.15086054801940918
0.002,10240,6,46,54,62,32,1.0,1,1,1,1.854997419061055,1.8549974190610443,2.570561318893576e-14,1.24840342109381e-14,2.6017157511384096e-14,0,0,,32,0,,1.9266623085990122e-14,1.9128576525404206e-14,2.5829179622561175e-15,0.007392204756727689,0.0073922047567277546,9,0.17559861381360542,-0.5018794354019703,3.925798001222651e-14,1.8097242991069828e-15,1.4284561776611797e-14,1,2,1,9.282920598983765,0.8338785171508789
0.001,20480,7,50,58,66,32,1.0,1,1,1,2.149536901452958,2.1495369014529313,6.438738936858448e-14,1.1188122469562302e-13,9.836552784013328e-14,0,0,,32,0,,6.793797751655127e-14,6.835945397580378e-14,4.0638436574829795e-15,0.0028757464883658883,0.0028757464883657977,11,0.2609102304173899,-0.4685838108213959,7.144455977718854e-14,6.798164682679042e-15,1.62520941645128e-14,16,22,1,22.284422159194946,5.195596694946289
0.0005,40960,7,54,62,70,32,1.0,1,1,1,1.554569947491389,1.5545699474913943,1.4362426553184276e-13,1.3151253359499394e-13,9.16884896753046e-14,0,0,,32,0,,3.2825198192017615e-14,3.3306239559877506e-14,3.2849481986792664e-15,0.00702526205685077,0.007025262056850906,8,0.3002849031543217,-0.4597883562310625,5.351951563575482e-14,2.5750555650121123e-15,9.731156447668637e-15,3,9,1,49.649648904800415,7.41446590423584
0.0002,102400,8,58,66,74,32,1.0000000000000002,1,1,1,1.4661313483496945,1.4661313483484666,9.137324722350353e-12,1.9192033439905717e-13,9.144367816296232e-12,6,6,0.030824880714223655,26,6,9.33336263636442e-12,1.187661966069295e-12,8.287173159085158e-14,5.734877835534986e-15,0.004266852233594404,0.004266852233607218,10,0.3618184301666445,-0.43008984856589627,9.072127992644065e-12,2.520638172984252e-13,1.6533526190565987e-14,33,209,1,158.35837078094482,160.00660753250122
0.0001,204800,9,62,70,78,32,1.0,1,1,1,1.6324739834273319,1.6324739834344897,4.9629530493917073e-11,2.9598238374867426e-13,4.9642232718764446e-11,8,8,0.052181947082155726,24,8,4.992728865854601e-11,1.5563754927625695e-11,2.909662804429984e-13,1.5770748050644318e-14,0.002140613140279641,0.0021406131402827494,12,0.4010538961395984,-0.40187277025338,4.9528368562321313e-11,1.2444187761110215e-12,1.4329516478089672e-14,39,304,1,366.8022389411926,456.957715511322
