d,total_transitions,source_count,mean_l1_error,std_l1_error,l1_upper_bound,observable_rms_error,observable_exact_rms,normalized_l1,normalized_observable
64,100000000,1562500,0.0016791907585350435,0.0004926249792330749,0.002093816189093154,6.814865114413831e-05,6.85884176329933e-05,0.2623735560211005,0.08518581393017288
96,100000000,1041666,0.0026073787952219795,0.0005726450376335637,0.003229870634535715,8.697179284926166e-05,8.400333961394595e-05,0.27160195783562285,0.08876521437322074
128,100000000,781250,0.0035045150738003657,0.0006460591856481935,0.004364235306579491,9.428940561922403e-05,9.699867043828904e-05,0.27379024014065356,0.08334084763425284
192,100000000,520833,0.005296059115638089,0.0008363608485919973,0.006631415409914656,0.00011977436305480015,0.00011879866216667721,0.27583641227281713,0.08643970093963105
256,100000000,390625,0.007116527774685826,0.0009236187946044781,0.008897851748797017,0.0001395877430137203,0.00013717683526598244,0.2779893661986651,0.08724233938357519
384,100000000,260416,0.0107311239944166,0.0011410652120929143,0.01343003391479516,0.00017694968994897824,0.00016800684051463942,0.2794563540212656,0.09029926052472621
512,100000000,195312,0.014267211855668762,0.0013967558974795318,0.017961856869454423,0.00019490005293717187,0.00019399758919364532,0.2786564815560305,0.08613446817843207
768,100000000,130208,0.02145266917718031,0.0016648092285256157,0.0270251612466696,0.00022726273414147056,0.00023759755242726383,0.2793316299112019,0.08200637545834275
1024,100000000,97656,0.028652953450536138,0.0019548687168323095,0.03608829677161654,0.00027161394075084623,0.00027435402170534985,0.27981399854039196,0.08487935648463944
1536,100000000,65104,0.04311737036562129,0.002366387485633313,0.054214400473551125,0.0003424294608706402,0.0003360136810292687,0.28071204665118027,0.0873726512530632
2048,100000000,48828,0.057525850448362954,0.0027321009646074663,0.0723404209654761,0.00038312190421724285,0.00038799517838729064,0.2808879416423972,0.08465878015409854
