length,parity,physical_fixed_point_count,flat_trace,parity_baseline,centered_trace,odd_exact_formula,odd_formula_error,minimum_boundary_clearance,distinguished_boundary_point,distinguished_boundary_clearance,clearance_times_lambda_power,minimum_abs_multiplier,maximum_abs_multiplier
1,odd,1,0.37333304316897203,0.0,0.37333304316897203,0.37333304316897203,0.0,0.45631098730792474,,,,1.6785735104283177,1.6785735104283177
2,even,3,1.1801429862402304,2.0,-0.8198570137597696,,,0.09898156619342557,0.9010184338065744,0.09898156619342557,0.27889135470139315,2.174756050768281,2.8176090299116625
3,odd,1,0.17453335382628332,0.0,0.17453335382628332,0.1745333538262836,2.7755575615628914e-16,0.45631098730792474,,,,4.729563880353327,4.729563880353327
4,even,7,1.4198783447036916,2.0,-0.5801216552963084,,,0.04277109103665755,0.9572289089633425,0.04277109103665755,0.33955629765889916,4.409001789601236,7.938920645439762
5,odd,1,0.06980285351283122,0.0,0.06980285351283122,0.06980285351283116,5.551115123125783e-17,0.45631098730792474,,,,13.326061896827458,13.326061896827458
6,even,15,1.6221410887189234,2.0,-0.3778589112810766,,,0.01703019518376936,0.9829698048162306,0.01703019518376936,0.3809445957284992,8.249219544253522,22.368774498343434
7,odd,1,0.02594193052751372,0.0,0.02594193052751372,0.025941930527513292,4.2674197509029455e-16,0.45631098730792474,,,,37.54763233366196,37.54763233366196
8,even,31,1.7638731479009206,2.0,-0.23612685209907935,,,0.006494732565471173,0.9935052674345288,0.006494732565471173,0.40934000883784283,14.627911636050236,63.026461014592236
9,odd,1,0.00936377389597427,0.0,0.00936377389597427,0.009363773895973619,6.505213034913027e-16,0.45631098730792474,,,,105.79454791512278,105.79454791512278
10,even,63,1.8555077105429811,2.0,-0.14449228945701886,,,0.0024124835598513528,0.9975875164401486,0.0024124835598513528,0.4284183011922251,25.217681675622114,177.58392567810733
11,odd,1,0.0033435012156383935,0.0,0.0033435012156383935,0.003343501215637634,7.593752016088473e-16,0.45631098730792474,,,,298.0876735210232,298.0876735210232
12,even,127,1.9125745570267334,2.0,-0.0874254429732666,,,0.0008809810289052145,0.9991190189710948,0.0008809810289052145,0.44080949350703535,42.88973450918947,500.36207255793215
13,odd,1,0.001189209794428551,0.0,0.001189209794428551,0.0011892097944277429,8.08164299370695e-16,0.45631098730792474,,,,839.8945206178093,839.8945206178093
14,even,255,1.947439879820811,2.0,-0.052560120179188985,,,0.0003182118992920424,0.999681788100708,0.0003182118992920424,0.4486229935032553,72.4791726964828,1409.8246938656232
15,odd,1,0.0004223874853263602,0.0,0.0004223874853263602,0.00042238748532553126,8.289267709737924e-16,0.45631098730792474,,,,2366.4943854630164,2366.4943854630164
16,even,511,1.968518085449592,2.0,-0.03148191455040794,,,0.00011415130320457934,0.9998858486967954,0.00011415130320457934,0.4534471928177528,122.09840389214372,3972.3347880368024
17,odd,1,0.00014995075730286802,0.0,0.00014995075730286802,0.0001499507573020305,8.3751907319074e-16,0.45631098730792474,,,,6667.85594969165,6667.85594969165
18,even,1023,1.9811845485117667,2.0,-0.01881545148823327,,,4.0776013674137523e-05,0.9999592239863259,4.0776013674137523e-05,0.4563849772122768,205.35727587919772,11192.486368672855
19,odd,1,5.322429836552389e-05,0.0,5.322429836552389e-05,5.3224298364682886e-05,8.410020726698497e-16,0.45631098730792474,,,,18787.411133809353,18787.411133809353
20,even,2047,1.9887693744422983,2.0,-0.011230625557701712,,,1.4528090650056669e-05,0.9999854719093499,1.4528090650056669e-05,0.45815860272217096,345.0945987371033,31536.050660076795
21,odd,1,1.8890529271466197e-05,0.0,1.8890529271466197e-05,1.8890529270623812e-05,8.423844304397687e-16,0.45631098730792474,,,,52935.5792577597,52935.5792577597
22,even,4095,1.993301805978037,2.0,-0.006698194021963033,,,5.1681640261813655e-06,0.9999948318359738,5.1681640261813655e-06,0.4592237321449588,579.642565512618,88856.26111187895
23,odd,1,6.704535397451469e-06,0.0,6.704535397451469e-06,6.704535396608533e-06,8.429358488884313e-16,0.45631098730792474,,,,149151.7661081662,149151.7661081662
24,even,8191,1.9960068857799356,2.0,-0.003993114220064431,,,1.8367841694288956e-06,0.9999981632158306,1.8367841694288956e-06,0.4598613322954508,973.3416905025231,250362.20370711645
25,odd,1,2.3795226112652583e-06,0.0,2.3795226112652583e-06,2.379522610422108e-06,8.431501482240866e-16,0.45631098730792474,,,,420251.36291756533,420251.36291756533
26,even,16383,1.997620165684038,2.0,-0.002379834315962004,,,6.524346356506783e-07,0.9999993475653643,6.524346356506783e-07,0.4602422712588232,1634.1903572535352,705422.806184456
27,odd,1,8.445196761225272e-07,0.0,8.445196761225272e-07,8.445196752792945e-07,8.432326280573255e-16,0.45631098730792474,,,,1184104.034226479,1184104.034226479
28,even,32767,1.9985818867159983,2.0,-0.0014181132840016542,,,2.3167050178241055e-07,0.9999997683294982,2.3167050178241055e-07,0.46046960231871253,2743.4714546968617,1987605.6707600323
